"","AGG","SCHP","VCSH","BNDX","VWOB","1306","VOO","VSS","VGK","VWO","1343","VNQ","VNQI","IAU","BCI"
"19",0.01,0.386608686223929,0.00999999999999989,0.218712432563111,0.00999999999999987,0.0381362245290161,0.01,0.01,0.00999999999999992,0.00999999999999998,0.131184680427975,0.01,0.0100000000000001,0.125357976255969,0.01
"20",0.01,0.403410907774328,0.00999999999999988,0.187456367090548,0.00999999999999988,0.0371785813988185,0.00999999999999999,0.01,0.00999999999999992,0.00999999999999997,0.136099610170606,0.01,0.0100000000000001,0.1358545335657,0.01
"21",0.01,0.420213129324727,0.00999999999999986,0.156200301617984,0.00999999999999989,0.036220938268621,0.00999999999999999,0.01,0.00999999999999992,0.00999999999999997,0.141014539913237,0.01,0.0100000000000001,0.146351090875432,0.01
"22",0.01,0.437015350875126,0.00999999999999984,0.12494423614542,0.00999999999999991,0.0352632951384235,0.00999999999999998,0.01,0.00999999999999992,0.00999999999999997,0.145929469655868,0.01,0.0100000000000001,0.156847648185163,0.01
"23",0.01,0.453817572425524,0.00999999999999983,0.0936881706728569,0.00999999999999992,0.0343056520082259,0.00999999999999998,0.01,0.00999999999999991,0.00999999999999996,0.150844399398499,0.01,0.0100000000000001,0.167344205494894,0.01
"24",0.01,0.470619793975923,0.00999999999999981,0.0624321052002931,0.00999999999999994,0.0333480088780284,0.00999999999999997,0.01,0.00999999999999991,0.00999999999999996,0.15575932914113,0.01,0.0100000000000001,0.177840762804625,0.01
"25",0.01,0.479433184651282,0.00999999999999981,0.033559506189752,0.0214319674896819,0.0321412990666268,0.00999999999999997,0.01,0.00999999999999991,0.00999999999999996,0.158893131189073,0.01,0.0100000000000001,0.184540911413584,0.01
"26",0.01,0.478751777664101,0.00999999999999981,0.01,0.0396129834965228,0.0306535939453661,0.00999999999999997,0.01,0.00999999999999991,0.00999999999999995,0.161328212781029,0.01,0.0100000000000001,0.18965343211298,0.01
"27",0.01,0.448294676742904,0.00999999999999982,0.01,0.05994305033731,0.0283264645886258,0.00999999999999997,0.01,0.00999999999999991,0.00999999999999996,0.165515950609699,0.01,0.0100000000000001,0.197919857721461,0.01
"28",0.00999999999999999,0.421924406563598,0.00999999999999982,0.01,0.0749419881910803,0.0264556759286816,0.00999999999999996,0.01,0.00999999999999992,0.00999999999999996,0.16938978206031,0.0120498915914639,0.0100000000000001,0.205238255664866,0.01
